RAW:
C:\Users\Anthony\anaconda3\envs\isye6740\python.exe C:/OMSA/ISyE6748_practicum_publish/Mars/make_table.py
Factor: 1 Bottleneck: 16 | ValAcc: 0.537 | FinalAcc: 0.603 | AUC: 0.625
Factor: 1 Bottleneck: 32 | ValAcc: 0.537 | FinalAcc: 0.595 | AUC: 0.607
Factor: 1 Bottleneck: 64 | ValAcc: 0.537 | FinalAcc: 0.605 | AUC: 0.623
Factor: 2 Bottleneck: 16 | ValAcc: 0.537 | FinalAcc: 0.605 | AUC: 0.622
Factor: 2 Bottleneck: 32 | ValAcc: 0.537 | FinalAcc: 0.595 | AUC: 0.618
Factor: 2 Bottleneck: 64 | ValAcc: 0.537 | FinalAcc: 0.590 | AUC: 0.614
Factor: 3 Bottleneck: 16 | ValAcc: 0.537 | FinalAcc: 0.598 | AUC: 0.620
Factor: 3 Bottleneck: 32 | ValAcc: 0.537 | FinalAcc: 0.593 | AUC: 0.618
Factor: 3 Bottleneck: 64 | ValAcc: 0.537 | FinalAcc: 0.603 | AUC: 0.620
Best by FinalAcc: (Factor=1, Bottleneck=64) (FinalAcc=0.605, AUC=0.623, ValAcc=0.537)
Best by AUC: (Factor=1, Bottleneck=16) (AUC=0.625, FinalAcc=0.603, ValAcc=0.537)

Process finished with exit code 0

C:\Users\Anthony\anaconda3\envs\isye6740\python.exe C:/OMSA/ISyE6748_practicum_publish/Mars/make_table.py
rank,factor,bottleneck,accuracy,auc
5 64 5 Factor 3 Bottleneck: 64,,,0.5575,0.4049
5 64 16 Factor 3 Bottleneck: 64,,,0.6025,0.5874
16 5 5 Factor 3 Bottleneck: 64,,,0.5825,0.604725
16 5 16 Factor 3 Bottleneck: 64,,,0.5625,0.570475
16 16 5 Factor 3 Bottleneck: 64,,,0.61,0.645025
16 16 16 Factor 3 Bottleneck: 64,,,0.6,0.618275
16 32 5 Factor 3 Bottleneck: 64,,,0.5775,0.593325
16 32 16 Factor 3 Bottleneck: 64,,,0.575,0.574925
16 64 5 Factor 3 Bottleneck: 64,,,0.615,0.644
16 64 16 Factor 3 Bottleneck: 64,,,0.6125,0.64355
32 5 5 Factor 3 Bottleneck: 64,,,0.525,0.4688
32 5 16 Factor 3 Bottleneck: 64,,,0.5675,0.544525
32 16 5 Factor 3 Bottleneck: 64,,,0.63,0.634075
32 16 16 Factor 3 Bottleneck: 64,,,0.6175,0.611225
32 32 5 Factor 3 Bottleneck: 64,,,0.5875,0.5814
32 32 16 Factor 3 Bottleneck: 64,,,0.5775,0.569025
32 64 5 Factor 3 Bottleneck: 64,,,0.6125,0.589275
32 64 16 Factor 3 Bottleneck: 64,,,0.6125,0.58675
64 5 5 Factor 3 Bottleneck: 64,,,0.56,0.383675
64 5 16 Factor 3 Bottleneck: 64,,,0.575,0.57
64 16 5 Factor 3 Bottleneck: 64,,,0.6175,0.627675
64 16 16 Factor 3 Bottleneck: 64,,,0.6075,0.623425
64 32 5 Factor 3 Bottleneck: 64,,,0.5825,0.588975
64 32 16 Factor 3 Bottleneck: 64,,,0.585,0.58355
64 64 5 Factor 3 Bottleneck: 64,,,0.61,0.588375
64 64 16 Factor 3 Bottleneck: 64,,,0.6125,0.5899

Best accuracy -> rank 32 16 5 Factor 3 Bottleneck: 16 (accuracy=0.6300, auc=0.634325)
Best AUC      -> rank 16 16 5 Factor 3 Bottleneck: 64 (auc=0.645025, accuracy=0.6100)

Process finished with exit code 0

